office.com,Akamai,39,,,
paypal.com,Akamai,102,,,
espn.com,Akamai,10,,,
chase.com,,,,,
indeed.com,Rackspace,50,Amazon CloudFront,4,
alibaba.com,Alibaba,59,Akamai,17,
bankofamerica.com,,,,,
wellsfargo.com,Akamai,6,,,
zillow.com,Amazon CloudFront,103,Akamai,8,
forbes.com,Fastly,90,Akamai,22,
businessinsider.com,Fastly,140,Akamai,30,
shutterstock.com,Akamai,16,,,
skype.com,,,,,
scribd.com,Fastly,108,,,
samsung.com,Akamai,102,,,
finance.yahoo.com,,,,,
hdfcbank.com,Cloudflare,5,,,
capitalone.com,Akamai,100,,,
behance.net,Fastly,5,,,
target.com,Akamai,90,,,
americanexpress.com,Akamai,114,,,
bloomberg.com,Akamai,112,,,
reuters.com,Amazon CloudFront,59,Internap,5,
ups.com,Akamai,20,,,
icicibank.com,Akamai,100,,,
